Día,"Nombre de la cuenta","Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Divisa,"Importe gastado (USD)","Costo por registro completado","Registros completados en el sitio web",Alcance,Impresiones,Frecuencia,"Clics (todos)","CPC (todos)","CTR (todos)","Clics en el enlace","CPC (costo por clic en el enlace)","CTR (porcentaje de clics en el enlace)","Visitas a la página de destino","Costo por visita a la página de destino","Conversaciones con mensajes iniciadas","CP - Comunicación audiovisual","CP - Computación e informática","CP - Marketing","CP - Publicidad y marketing","CP - Administración de hoteles","CP - Diseño de modas","CP - Negocios Internacionales","CP - Secretariado ejecutivo","CP - Desarrollo de software","CP - Landing general","CP - Periodismo audiovisual","CP - Contabilidad","CP - Administración bancaria y financiera","CP - Fisioterapia y rehabilitación","CP - Gastronomía","CP - Ciberseguridad","CP - Administración de empresas","CP - Enfermería","CP - Redes y seguridad informática","CP - Diseño de interiores","CP - Administración logística","CP - Diseño gráfico","CP - Software","CP - Tëcnica en farmacia","CP - Cpex","Clientes potenciales de Meta","CP - Cursos","CP - Cluster gestión","Inicio del informe","Fin del informe"
,,,,,USD,20146.78,4.98435923,4042,3559159,14821074,4.16420677,113039,0.17822858,0.76269102,50044,0.40258133,0.33765434,20858,0.96590181,3121,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,SIS-Pre_social-media_facebook_aon_2025_1_mensajes_subasta_whatsapp-formacion-corporativa,demografia_formacion-corporativa_cpc,img_carrusel_22-ene-2025_demografia_ppl,USD,3.06,,,350,527,1.50571429,22,0.13909091,4.17457306,20,0.153,3.79506641,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,SIS-Pre_social-media_facebook_aon_2025_1_mensajes_subasta_whatsapp-formacion-corporativa,demografia_formacion-corporativa_cpc,img_diseno-comunicaciones_22-ene-2025_demografia_ppl,USD,0.31,,,59,74,1.25423729,1,0.31,1.35135135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,SIS-Pre_social-media_facebook_aon_2025_1_mensajes_subasta_whatsapp-formacion-corporativa,demografia_formacion-corporativa_cpc,img_gastronomia_22-ene-2025_demografia_ppl,USD,6.5,,,1142,1409,1.23380035,36,0.18055556,2.55500355,10,0.65,0.70972321,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,SIS-Pre_social-media_facebook_aon_2025_1_mensajes_subasta_whatsapp-formacion-corporativa,demografia_formacion-corporativa_cpc,img_idiomas_22-ene-2025_demografia_ppl,USD,0.65,,,88,104,1.18181818,13,0.05,12.5,3,0.21666667,2.88461538,1,0.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,SIS-Pre_social-media_facebook_aon_2025_1_mensajes_subasta_whatsapp-formacion-corporativa,demografia_formacion-corporativa_cpc,img_informatica_22-ene-2025_demografia_ppl,USD,0.1,,,7,8,1.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_admi-bancaria-m1_carreras___abr_1,USD,8.23,4.115,2,7904,8464,1.0708502,32,0.2571875,0.37807183,18,0.45722222,0.21266541,7,1.17571429,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-inicio-mayo_carreras___abr_10,USD,3.19,,,892,913,1.0235426,7,0.45571429,0.76670318,1,3.19,0.10952903,1,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-m2_carreras___abr_1,USD,7.57,,,7084,8075,1.13989272,67,0.11298507,0.82972136,25,0.3028,0.30959752,10,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,rmkt_banca-y-finanzas_facebook_carreras__cpl,ppl_admi-bancaria-m1_carreras___abr_1,USD,0.13,,,71,77,1.08450704,1,0.13,1.2987013,1,0.13,1.2987013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
