Día,Nombre de la cuenta,Nombre de la campaña,Nombre del conjunto de anuncios,Nombre del anuncio,Divisa,Importe gastado (USD),Costo por registro completado,Registros completados en el sitio web,Alcance,Impresiones,Frecuencia,Clics (todos),CPC (todos),CTR (todos),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),Visitas a la página de destino,Costo por visita a la página de destino,Conversaciones con mensajes iniciadas,CP - Comunicación audiovisual,CP - Computación e informática,CP - Marketing,CP - Publicidad y marketing,CP - Administración de hoteles,CP - Diseño de modas,CP - Negocios Internacionales,CP - Secretariado ejecutivo,CP - Desarrollo de software,CP - Landing general,CP - Periodismo audiovisual,CP - Contabilidad,CP - Administración bancaria y financiera,CP - Fisioterapia y rehabilitación,CP - Gastronomía,CP - Ciberseguridad,CP - Administración de empresas,CP - Enfermería,CP - Redes y seguridad informática,CP - Diseño de interiores,CP - Administración logística,CP - Diseño gráfico,CP - Software,CP - Tëcnica en farmacia,CP - Cpex,Clientes potenciales de Meta,CP - Cursos,CP - Cluster gestión,Inicio del informe,Fin del informe,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña,Resultados,Tipo Resultado,Resultados Personalizados
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_admi-bancaria-m1_carreras___abr_1,USD,8.23,4.115,2.0,7904.0,8464.0,1.0708502,32.0,0.2571875,0.37807183,18.0,0.45722222,0.21266541,7.0,1.17571429,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,ADMINISTRACION BANCARIA Y FIN,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,2.0,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-inicio-mayo_carreras___abr_10,USD,3.19,,,892.0,913.0,1.0235426,7.0,0.45571429,0.76670318,1.0,3.19,0.10952903,1.0,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,CONTABILIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-m2_carreras___abr_1,USD,7.57,,,7084.0,8075.0,1.13989272,67.0,0.11298507,0.82972136,25.0,0.3028,0.30959752,10.0,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,CONTABILIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,rmkt_banca-y-finanzas_facebook_carreras__cpl,ppl_admi-bancaria-m1_carreras___abr_1,USD,0.13,,,71.0,77.0,1.08450704,1.0,0.13,1.2987013,1.0,0.13,1.2987013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,ADMINISTRACION BANCARIA Y FIN,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,rmkt_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-inicio-mayo_carreras___abr_10,USD,0.93,,,114.0,126.0,1.10526316,3.0,0.31,2.38095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,CONTABILIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,rmkt_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-m1_carreras___abr_1,USD,8.34,8.34,1.0,2768.0,3083.0,1.11380058,19.0,0.43894737,0.61628284,9.0,0.92666667,0.29192345,4.0,2.085,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,2025-04-01,2025-04-15,CARRERA,CONTABILIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,1.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_banca-y-finanzas_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,rmkt_banca-y-finanzas_facebook_carreras__cpl,ppl_contabilidad-m2_carreras___abr_1,USD,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,CONTABILIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_comunicacion-audiovisual-m2_carreras___abr_1,USD,34.8,17.4,2.0,14941.0,18303.0,1.22501841,123.0,0.28292683,0.67202098,60.0,0.58,0.32781511,36.0,0.96666667,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,2.0,Registros completados en el sitio web,1.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_diseno-grafico-inicio-mayo_carreras___abr_10,USD,3.99,,,826.0,940.0,1.13801453,9.0,0.44333333,0.95744681,3.0,1.33,0.31914894,1.0,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,DISEÑO GRÁFICO,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_diseno-grafico-m3_carreras___abr_1,USD,11.13,5.565,2.0,3294.0,3884.0,1.17911354,45.0,0.24733333,1.15859938,18.0,0.61833333,0.46343975,11.0,1.01181818,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2025-04-01,2025-04-15,CARRERA,DISEÑO GRÁFICO,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,2.0,Registros completados en el sitio web,2.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_diseno-interiores-incio-mayo_carreras___abr_10,USD,8.02,,,2279.0,2635.0,1.15620886,24.0,0.33416667,0.91081594,4.0,2.005,0.15180266,1.0,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,DISEÑO DE INTERIORES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_diseno-interiores-m1_carreras___abr_1,USD,13.56,13.56,1.0,3941.0,4510.0,1.1443796,48.0,0.2825,1.06430155,19.0,0.71368421,0.42128603,13.0,1.04307692,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2025-04-01,2025-04-15,CARRERA,DISEÑO DE INTERIORES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,1.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_marketing-digital-inicio-mayo_carreras___abr_10,USD,4.95,4.95,1.0,792.0,936.0,1.18181818,10.0,0.495,1.06837607,6.0,0.825,0.64102564,3.0,1.65,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,PUBLICIDAD Y MARKETING DIGITAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,1.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_marketing-digital-m1_carreras___abr_1,USD,53.89,10.778,5.0,10926.0,13330.0,1.22002563,114.0,0.4727193,0.8552138,69.0,0.78101449,0.51762941,46.0,1.17152174,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2025-04-01,2025-04-15,CARRERA,PUBLICIDAD Y MARKETING DIGITAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,5.0,Registros completados en el sitio web,4.0
2025-04-15,SISE_CARRERAS_FB,sise_carreras_diseno-y-comunicaciones_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_diseno-y-comunicaciones_facebook_carreras__cpl,ppl_modas-inicio-mayo_carreras___abr_10,USD,43.45,6.20714286,7.0,16236.0,19862.0,1.22333087,150.0,0.28966667,0.75521096,66.0,0.65833333,0.33229282,37.0,1.17432432,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,,2025-04-01,2025-04-15,CARRERA,DISEÑO Y GESTION DE MODAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,7.0,Registros completados en el sitio web,5.0
