Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-28,PE_SMB_IMS_SISE,319.53,1041031,1739,847562,48,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-29,PE_SMB_IMS_SISE,253.7,855129,1442,731600,34,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-23,PE_SMB_IMS_SISE,229.9,766825,1310,666238,40,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-30,PE_SMB_IMS_SISE,224.75,718080,1285,619266,30,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-24,PE_SMB_IMS_SISE,212.34,757908,1233,636174,23,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_influencers,abierto_influencers_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_abierto_spark-ads,Conversion,2025-01-18,PE_SMB_IMS_SISE,208.14,504428,1635,442526,15,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_influencers
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-21,PE_SMB_IMS_SISE,207.22,352027,1086,325969,33,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_influencers,abierto_influencers_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_abierto_spark-ads,Conversion,2025-01-17,PE_SMB_IMS_SISE,206.25,598909,2087,536485,35,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_influencers
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-27,PE_SMB_IMS_SISE,202.47,666679,1129,576560,38,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-22,PE_SMB_IMS_SISE,200.22,719933,1300,633312,42,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-15,PE_SMB_IMS_SISE,192.96,400166,1413,377960,47,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-22,PE_SMB_IMS_SISE,189.33,320533,961,299228,16,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-20,PE_SMB_IMS_SISE,187.89,402616,1281,373599,36,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-21,PE_SMB_IMS_SISE,178.8,624201,1066,549505,41,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-18,PE_SMB_IMS_SISE,178.57,576250,1013,511749,46,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-16,PE_SMB_IMS_SISE,176.32,289936,1061,274496,25,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_logistico-23.05_intereses_video,Conversion,2025-01-19,PE_SMB_IMS_SISE,174.74,659215,1355,589201,27,USD,CARRERA,ADMINISTRACION LOGISTICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
